有效的	effective	valid	active
手的	manual
缺乏决心的	feeble
易受骗的	simple
称赞的	favorable
易看见的	apparent
乡下的	rural
过早的	previous
士兵的	private
最大的	most	top	ultimate	utmost
在实地工作的	field
卧式的	horizontal
推论的	material
骨骼的	skeleton
有强烈感情（或意见、想法）的	intense
意外的	chance	extraordinary	unexpected	abrupt	accidental
残留的	remnant
极度的	mortal	super	utmost	all	excessive
学理上的	academic
众所周知的	well-known
法律的	legal
优秀的	class	crack	good	master	rare	excellent
指定而尚未上任的	designate
都市的	municipal	urban
警察的	police
[化学]碱性的	basic
诚挚的	earnest	sincere
得体的	decent	graceful
尽量的	all
导向的	pilot
蓝色的	blue
随便写用的	scratch
[建]综合式的	composite
可怕的	awful	dread	fearful	formidable	grim	horrible	nightmare	terrible	terrific	tremendous
响亮的	loud	loud
令人生厌的	tedious	tiresome
达到结尾的	complete
名义上的	nominal
灰色的	grey
联立的	simultaneous
可评估的	valuable
精干的	lean
乳品业的	dairy
细长的	slim
不完美的	faulty
首字母的	initial
似纸的	paper
未完成的	outstanding
同一的	same	self
用以产生真空的	vacuum
定质的	qualitative
球体的	global
潮湿的	damp	humid	moist
荒凉的	bleak	desolate	lonely	wild
根据民法的	civil
刑事的	criminal
狭隘的	narrow
价格低廉的	budget
有斑纹的	zebra
贞洁的	continent
从商店里买来的	store
腻烦的	sick
年幼的	young
直率的	blunt	frank	straight
一千个的	thousand
无穷的	infinite
作信号用的	signal
有弹力的	elastic
不利的	hostile	minus	adverse
中立的	neutral	indifferent
多雨的	moist
有封面的	bound
[植]辐状的	rotate
发腻]的	weary
冷酷的	grim	ruthless
暴怒的	furious
中部的	middle
整个的	entire	mass
今…	this
即时的	ready
唇音的	lip
渴望的	anxious	eager	greedy	hungry
多云的	cloudy
无关紧要的	futile	indifferent
民主政体的	democratic
第一的	premier
十足的	thorough	very
书的	book
使完美	polish
深思熟虑	considerate
不坏的	possible
精美的	porcelain
〈美〉乘客名额有限制的	limited
提供金钱	situated
（在政府中）无代言人的	dumb
次于的	next
长音的	long
孤注一掷的	desperate
一年间的	yearly
犹豫的	solemn
花钱少的	budget
不起眼的	quiet
对不起的	sorry
适应的	accustomed
难以对付的	formidable
不锋利的	blunt
准时的	punctual
护送	conduct
老式的	ancient	obsolete
须穿礼服的	dress
使人厌烦的	painful
公的	bull
符合时尚的	fashionable
（伤口等）发炎的	angry
列名的	nominal
激流的	turbulent
户外的	outdoor
急速的	quick
冗长的	diffuse	long
（人）从容不迫的	calm
一点	any
庸俗的	vulgar
用文字表示的	graphic
碰巧的	chance	scratch
[口语]近便的	convenient
来自北方的	northern
内疚的	guilty
宽宏大量的	kind
不祥的	ugly
（颜色等）朴素的	grave
忠诚的	faithful	loyal
物有效的	virtual
无论哪一个	whichever
双联的	twin
相似的	like	similar	alike
光滑的	smooth
精炼	concise
（风）来自南方的	south
开明的	liberal
热烈兴奋的	furious
偶然的	casual	chance
宏伟的	grand
（化学中）中性的	neutral
无法逃离的	captive
延伸的	continuous
&pron.that的复数	those
（用以强调）完全的	complete
饱和的	saturate
有害的	bad	destructive	evil	poisonous	adverse
母音的	vowel
很快的	overnight
浓密的	heavy	shock	dense
本部的	home
贴近的	next
遗传的	genetic
级别最高的	chief
亲密的	bosom	close	confidential	friendly	near	intimate	inward
十进制的	metric
边缘的	fringe	marginal
银制的	silver
政府的	public
个头很小的	toy
压缩的	capsule
健康的	better	fine	tidy	well	healthy
提前的	beforehand
位于东南的	southeast
（口）稀奇的	funny
广泛的	comprehensive	broad
自私的	mean	selfish
代价高的	costly
领地的	feudal
互助的	friendly
爱挑剔的	critical
数不清的	numerous	innumerable
无说服力的	lame
神妙	wonderful
选中的	elect
记叙英雄及其事迹的	heroic
明星的	star
可能性极小的	mathematical
（人的想像）丰富的	vivid
发怒的	angry	sore
栎树的	oak
湿的	wet
未使用的	virgin
理论上的	abstract
（以…）落后于对手的	down
需要专门知识（或技术）的	expert
政党的	party	political
宗主国的	metropolitan
惹人注意的	conspicuous
小数的	decimal
有决定权的	competent
大概的	approximate	most	probable
成块的	lump
越冬的	winter
冰的	ice
创始的	initiative
口齿不清的	dumb
（电话）接通	through
无意的	feeble
恶臭的	rank	rotten
绕圈子的	roundabout
历史上的	historic	historical
素净的	sober
陈腐可笑的	camp
王国的	royal
瑰丽的	magnificent
（设计、草图、提纲或版本）正在起草中的	draft
假想的	straw
继承的	successive
相当的	corresponding	equivalent	proper	comparative
左舷的	port
期中的	interim
不著名的	obscure
权威的	cathedral	important
称心如意的	eligible
缜密思考过的	thoughtful
[数]变量的	variable
流露出忧虑的	anxious
内阁的	cabinet
[乐]小调的	minor
冒充的	fake
干练的	able
不间断的	continual
猜疑的	jealous	suspicious
独一无二的	unique	alone
已过时的	obsolete
过多的	superfluous	excessive
有关美的	aesthetic
外交上的	diplomatic
富足的	flush	affluent
（机会）宝贵的	golden
威严的	August
彻头彻尾的	thorough
冒昧的	familiar
麦秆的	straw
横向的	lateral
号称的	so-called
依赖的	dependent
不可或缺的	must
分支的	offset
清楚的	crystal	clear	distinct	explicit	intelligible
粗心大意的	reckless
同伴的	fellow
二手的	used
包括的	inclusive
（风光）明媚的	glad
最小的	least	minimum
冷的	chill
巧妙的	happy	sly	subtle
医药的	medical
仓促的	snap	sudden
羞耻的	ashamed
（学术	academic
胆大妄为	reckless
易怒的	cross
孩子的	baby
失去知觉的	cold
旁边的	side
艳丽的	gay	gorgeous
极为盛行的	epidemic
使人伤心的	sore
莽撞的	bold
尖的	acute
背部的	back
斜裁的	bias
不动的	put	stationary	sticky	still
改革的	reform
冠军的	title
怀疑性的	skeptical
向上的	up	upward
热烈的	enthusiastic	strenuous	intense
耳的	aural
海边的	seaside
总括的	blanket
不熟悉的	stranger
助手	secondary
勤勉的	diligent
[废语]适当的	convenient
高贵的	magnificent	royal
厚的	thick
等积的	equivalent
私人的	personal	private	intimate
连贯的	consecutive
脚的	pedal
粗大的	thick
田园的	rural
石制的	stone
一闪而过的	flash
幻术的	magic
（与复数名词和复数动词连用）有些	few
[数]可分解的	composite
大红色的	cardinal
外国的	foreign	strange	alien	external
独自的	alone	solitary
不常见的	unusual
有移动力的	locomotive
不理智的	crazy
日常的	daily	everyday	household	routine
沉稳[持重]的	stable
不像是真的	unlikely
难处理的	problem	reluctant
可以解决的	soluble
公共的	open	public
[计]智能的	intelligent
家喻户晓的	household
强求的	urgent
微暗的	dusk
易…的	liable
审美的	aesthetic
将昏倒似的	faint
有用的	useful
骗得信任的	confidence
中古的	medieval
阴沉的	solemn
有毛病的	wrong
同属一个时期的	contemporary
民间的	folk
[免疫学]特效的	specific
两国（或以上）国家的	international
相互有关的	relative
便于使用的	handy
具有审美趣味的	aesthetic
有历史影响的	historic
手抄的	manuscript
同时的	simultaneous
专门（技术）的	technical
纤弱的	delicate	tender
寒冷的	bleak	cold
可悲的	sad
似松的	pine
准备好的	ready
深的	deep
粗鄙的	coarse
[生]已废退的	obsolete
活跃的	active
装满的	full
照惯例的	customary
总的	chief	general	gross
前面的	front	preceding
阴影的	shadow
（医院等）院外的	outdoor
巨额的	vast
优雅的	graceful
（政治上）急进的	extreme
粉红色的	pink	rose
批评的	critical
正常的	natural	normal	ordinary	proper	right
另一的	another
聚会的	party
绝望的	desperate
表面（上）的	superficial
手头的	visible
远离的	off	remote	distant
相容的	compatible
过去的	over	past
有形成力的	plastic
内部的	inner	inside	interior	internal	intimate	inward
畸形的	abnormal
绕行的	circular
祖传的	descendant
必然的	certain	necessary
高的	high	per
傲慢的	arrogant	lofty	proud
冷静的	cool	sober
心灵的	spiritual
最新的	up-to-date
小音阶的	minor
能容忍的	patient
较年幼的	junior	kid
恼火的	sore
心爱的	bosom	honey
精神的	mental	spiritual	inner
（两个中的）另一个	other
<美>毕业了的	graduate
电子操纵的	electronic
害臊的	ashamed
引起头晕的	dizzy
内地的	upper	inland	interior
[生化]抑制酶作用的	competitive
独奏的	solo
〈美〉社论的	editorial
骄	arrogant
摇滚音乐的	beat
最合适的	best
盘旋上升的	spiral
沙漠的	desert
帝王的	purple
如凶杀）	black
（有）海军的	naval
急迫的	urgent
红宝石色的	ruby
尊严的	August
张开的	spread
戏剧性的	dramatic
易于…的	apt	prone
已往的	ancient
东拼西凑的	scratch
绷紧的	tight
领养的	foster
柠檬色的	lemon
多产的	productive
不顾后果的	rash
流利的	fluent
出名的	famous	well-known
最适当的	only
呆板的	blunt	dead	mechanical	stiff	wooden
决定性的	critical	crucial	decisive	final	material
忧郁的	blue	dark
用电子设备生产的	electronic
智力的	intellectual
学术（上）的	technical
欺骗（性）的	funny
裂开的	split
糟糕的	awful	sad
方式上的	formal
很多的	great	numerous	plenty	plenty
薄的	thin
自豪的	proud
解析的	analytic
对应的	corresponding
预定	due
实质性的	relevant
吉利的	fortunate
化石的	fossil
军事行动的	operational
精通的	master	perfect
胖的	fat
化学的	chemical
原版的	master
大方的	big	generous	handsome
显赫	impressive
应用科学的	scientific
忽忽	restless
不变的	permanent	regular	set	static	stationary	steady
略带左翼政治观点的	pink
不稳定的	uneasy
异想天开的	fantastic
训练有素的	crack
胡枝扯叶	ridiculous
到期（应该支付）的	mature
普遍的	general	standard	universal	wide	widespread
收费的	pay
实质上的	virtual
[植]笔直的	strict
有技能的	skilled
严肃的	serious	solemn	stern
意志薄弱的	mental
口服的	oral
收费合理的	budget
不同的	different	otherwise	several	unlike	diverse
水下的	submarine
创记录的	record
毁灭性的	destructive	fatal
不调和	jazz
苗条的	slender	slim	trim
强制的	necessary
异国的	exotic
工业的	industrial
向外的	outward
民主的	democratic
斜的	bias
大致的	general
被关押的	captive
政治上无发言权的	dumb
通俗的	common	pop	popular
手巧的	handy
楼下的	downstairs	low
针的	pin
原子能的	nuclear
珍贵的	precious
淘气的	arch	sly	wicked
至高无上的	sovereign
必须穿戴的	regulation
非正总会发生的	inevitable
从事工业的	industrial
[光]相干的	coherent
（衣服、音乐等方面）时髦的	hip
[物]广延的	extensive
帆布制的	canvas
纪实的	documentary
[神]赎罪的	satisfactory
似砖的	brick
得之（或来自）书本的	book
[法]无偿的	voluntary
易转换成现款的	liquid
数学的	mathematical
破产的	bankrupt
司法的	judicial
不幸的	evil	wretched
无效的	empty	feeble	frustrate	void	futile	invalid
经过浓缩的	concentrate
紧张不安的	nervous
思维敏捷的	alert
良好的	prosperous	well
在先的	precedent
[口语]流行的	in
自助餐的	buffet
（动作、设计、音乐等）流畅优美的	fluid
空气的	aerial
同高的	flush
象征的	indicative
[生]群体的	colonial
市民的	civil
[法]审讯的	trial
轮流的	alternate
整数的	round
不许的	no
不易为视线所见的	invisible
美丽动人的	gorgeous
乐于助人的	forthcoming
新到的	new
人本性的	human
齐次的	homogeneous
可繁殖的	fertile
颜色会变化的	shot
爱惜的	jealous
多种多样的	diverse
银白色的	silver
指挥	conduct
赶时髦的	hip
亚麻的	linen
必然发生的事	inevitable
致死的	deadly
自愿的	voluntary	volunteer	willing
爱国的	patriotic
最先的	premier
雄健	energetic
不动摇的	resolute	stern
令人焦虑的	anxious
晚上的	overnight
细小的	slight
正确的	correct	faithful	just	right	perfect	true
在室内使用的	indoor
晕眩的	stupid
照顾孤儿的	foster
有帮助的	friendly	useful	assistant	instrumental	instrumental
党派的	party
一贯的	consistent	systematic
有宗教性质的	sacred
精明的	prudent	prudent	shrewd
远的	far
[植]根生的	radical
[色彩]青灰色的	steel
不可胜数	innumerable
等于零的	null
直截了当的	straightforward
铁的	irony
十二的	twelve
多股的	multiply
乏味的	fade	stupid
有大理石花纹的	marble
冷色的	cold
非职业的	amateur
（尤指）有钱人常光顾的	fashionable
补偿的	saving
有可能的	potential
大量的	bulk	extravagant	heavy	massive	much	vast	volume	abundant	healthy
任性的	arbitrary	contrary
[艺]有冷感的	cold
不经常的	occasional
热心家务的	domestic
保热的	thermal
领先的	banner	lead
传统式样的	classic
令人恐惧的	scare
贱的	base
卑鄙的	base	mean	miserable	reptile	shabby	wretched	petty
小…	minor
右旋的	clockwise
耐用的	durable	service	sturdy
选举的	constituent
迷你的	pocket
巍峨的	lofty
无生气的	limp
庞大的	enormous	flash	gigantic	huge	monster
勉强的	reluctant
人身攻击的	personal
加有香料的	spicy
旅行的	locomotive
可靠的	reliable	solid	authentic
精于盘算的	shrewd
有立体感的	stereo
沉默的	dumb	silent
闪闪发光的	orient
市制的	municipal
浪漫的	romantic
有规律的	regular
专门的	special	express
假设的	theoretical
用作贮藏所的	store
更进一步的	further
图解的	graphic
非常（好）的	remarkable
[语法学]（句子）复合的	compound
在晚上的	evening
基谐波的	fundamental
无抑扬顿挫的	monotonous
资历较浅的	junior
跑的筋疲力尽的	run
幼儿的	infant
特别的	extraordinary	particular	unique	extra
抱有希望的	hopeful
两极的	polar
有创意的	creative
亚麻布制的	linen
敬爱的	dear
创造性的	creative
人人知道的	public
[数]齐性的	homogeneous
使人眩晕的	dizzy
隐秘的	secret
[电]并联的	parallel
动力学的	dynamic
到	considerate
以草稿形式的	draft
那个	that
相关的	correlate	relative
表示特性的	characteristic
整洁的	feat	neat	tidy	trim
无数的	billion	million	infinite	innumerable
踏板的	pedal
不可避免的	necessary	imperative	inevitable
不光明的	dim	funny
为客人（或来宾）准备的的	guest
周到的	careful
局部的	local
不会有的	impossible
[数]可解的	soluble
近乎下流的	rude
消沉的	damp
即将的	ready
周期的	periodical
虔诚的	religious
复数的	plural
音调优美的	musical	musical
闲暇的	leisure
卓越的	eminent	predominant	remarkable	distinct	excellent
胜	wonderful
暴力引起的	violent
倒闭的	bankrupt
笃信宗教的	religious
可笑的	foolish	rediculous	ridiculous
辅助的	auxiliary	pilot	accessory	assistant
要打架的	aggressive
绝妙的	wonderful
正中的	middle
一点点	petty
成年人的	mature	adult
浪费的	extravagant
令人烦恼的	troublesome
值得注意的	notable	significant
又笨又可怜的	pathetic
风流的	romantic
不完全的	part
充满活力的	dynamic	energetic	lively	vigorous
满不在乎的	reckless
低年级的	junior
自杀的	suicide
作为仪式的一部分的	ritual
中级的	medium	intermediate
没有工作或不在运行的	off
和蔼可亲的	amiable
有力的	energetic	hard	male	vigorous
〈古〉漂亮的	proper
不平常的	unique
过分自信的	confident
确实的	positive	sure
持重	discreet	cautious
经典的	classical	textbook
冲动的	impulse
条理分明的	coherent
合算的	economic	economical	profitable
有抱负的	ambitious
英按物价指数变动工资的	threshold
美的	aesthetic
身材高的	tall
马克思主义的	Marxist
易受伤的	vulnerable
（药）有效地	powerful
供思考的	think
一场空	futile
积分的	integral
仿制的	mock	pretend
个别的	different	various	individual
用力的	strenuous
出殡时的	funeral
专有的	several	sole
引起兴趣的	interesting
无双亲的	orphan
谦逊的	humble	modest
急躁的	sudden
顽抗的	reluctant
传教（士）的	missionary
三部分的	triple
某一时间的	sometime
迟到的	late
无动于衷的	numb
错综复杂的	intricate
勇敢的	bold	brave
夸张的	camp	heroic	steep	tall
常有的	usual
黑暗的	brown	dark	gloomy
强大的	formidable	powerful
前景黯淡的	gloomy
瓷制的	porcelain
凶猛的	fierce	savage	vicious
打有活结的	slip
侥幸的	fortunate	lucky	scratch
有智力的	intelligent
值得拥有的	desirable
奶制的	dairy
溢出的	overflow
冷漠的	chill	passive	distant
恶名昭著	notorious
未受损伤的	intact
口正派的	christian
用以发射导弹的	missile
十二个的	twelve
阳性的	masculine
最前面的	foremost
感到厌倦的	weary
像智者的	wise
变化多的	diverse
邻近的	neighbor	adjacent
浓的	thick
下降的	descendant
大众的	popular
反抗的	rebel
某一个的	one
客人的	guest
软弱的	faint	weak
朝内的	in
最好的	only	prime
墙壁的	wall
灵巧的	apt	clever	feat	neat	skillful	ingenious
自然形态的	found
（举止言谈）符合公认准则的	correct
极大的	awful	huge	tremendous	infinite
富有经验的	sophisticated
世俗的	lay
容貌	bizarre
坚忍不拔的	iron
精彩的	wonderful
方灵活的	sly
大部分的	most
蘑菇的	mushroom
每月的	monthly
（字母）不发音的	mute
储存的	store
邪门儿	abnormal
黑玉制的或黑玉似的	jet
礼节性的	ritual
低的	low
乡村的	country
否认的	negative
心甘情愿的	content	willing
自负的	vain
不拘泥的	liberal
微妙的	delicate	subtle
多样的	multiply
常设的	permanent
值得做某事	worthy
理应获奖的	prize
引起恐慌的	scare
易弯的	limp
古怪的	eccentric	fantastic	odd	peculiar	queer	strange	funny
一切的	all
不隐瞒的	explicit
极好的	beautiful	capital	fabulous	famous	fantastic	glorious	gorgeous	sovereign	super	superb	terrific	tremendous	wonderful	divine
淡红色的	pink
三十的	thirty
财经家的	financial
常备的	stock
超重的	excess
级别或职位较低的	subordinate
水晶的	crystal
情愿的	ready
晦暗的	opaque
（某方向的）最远的	far	farther
在商店能买到的	store
阴天的	cloudy
结构复杂的	complicated
演变的	genetic
滑溜的	slippery
复式的	duplicate
同情的	sympathetic
美秋天的	fall
草拟的	draft
神的	divine
有眉有眼	plausible
没有出息的	futile
显而易见的	conspicuous	gross	noticeable	transparent
没有指望的	bleak
〈美〉文科的	academic
令人沮丧的	gloomy
〈口〉有点醉意的	happy
正直的	upright
相投合的	sympathetic
需要体力的	robust
与…结为夫妻的	married
三的	three
革命的	revolutionary
孤单的	lonely
高耸的	dominant	lofty
（结构）复杂的	elaborate
便宜的	budget	cheap
蒸发的	vapour
逐日的	day
快速的	fleet	rapid	lightning
款式等）	bizarre
可移动的	mobile
供盲人用的	blind
关键的	key
言语的	verbal
最远的	utmost
形容词的	adjective
善于叙述的	narrative
浇铸的	run
性感的	desirable
担心的	fearful	afraid
无条件的	absolute
共和主义的	republican
平易的	popular
（美）有进取心的	aggressive
较不重要的	less
纯真的	pure
起作用的	effective	active	instrumental	instrumental
脆弱的	tender
自夸的	vapour
情绪异常激动的	hysterical
心智健全的	sane
造型的	plastic
自动的	automatic
无可胜数	innumerable
通话完毕	through
比赛的	competitive
高亢的	loud
博学的	learned	wise
权力的	power
（性质和特征上）不显著的	dim
诚恳的	cordial
可保存的	cabinet
左边的	left
编辑的	editorial
贪婪的	greedy
喜爱的	favorite
[生]向性的	tropic
粗糙的	coarse	crude	harsh	mat	rough
嘈杂的	noisy
责无旁贷的	indispensable
有益健康的	wholesome
困难的	difficult	hard	tough
如此的	so	such
不公正的	wrong
才华横溢的	brilliant
有信心的	confident
流动的	fluid
华丽的	brave	gay	gorgeous	magnificent	superb
有闯劲的	aggressive
定量的	quantitative
好怀疑的	skeptical
含金的	gold
不在场的	absent
适中的	modest
现货的	spot
强横的	turbulent
女儿般的	daughter
（风、光线）来自西北方的	northwest
玄妙	mysterious
正好相反的	polar
单独的	separate	sole	solo	alone	exclusive
陈旧的	stock	tired
临界的	marginal
湿气重的	humid
每月一次的	monthly
休眠的	asleep	latent
[解剖]体内的	intrinsic
充满欢乐的	glad
作为结果而发生的	subsequent
累赘的	diffuse	redundant
复合	compound
热切的	eager
用电子设备完成的	electronic
大头针的	pin
概略的	skeleton
有人性的	human
分离的	apart	separate	split	isolate
[数学]（顶、边等）对的	opposite
张大的	wide
普遍发生的	prevalent
应得某事物	worthy
新生的	orient
坚强的	steel	strong	tough	iron
后来的	later	subsequent	after
未成熟的	green	adolescent
（俚）过分的	tall
雄性的	male	masculine
拉丁美洲的	Latin
[体]违反规则的	foul
慢于…的	slow
同性质的	homogeneous
策略的	diplomatic
低洼的	low
兴隆的	brisk
紫外线的	ultraviolet
知识渊博的	profound
突起的	prominent
直系的	direct
光荣的	honorable	proud
正式的	official	proper	state
保存的	saving
〈美俚〉自以为了不得的	popular
进行中的	toward
复制的	duplicate
愚钝的	weak	dense
（尤指）有美术才能的	artistic
好奇的	curious
全的	per
现实的	real	realistic
配得上的	worthy
攻势的	offensive	aggressive
大规模的	mass	massive
（景色）美丽的	glad
小型的	miniature	baby
肌肉发达的	muscular
“bad“以及“ill“的最高级	worst
不断的	constant	perpetual
高级的	high	exclusive
惯常的	systematic
轻快的	brisk
执行的	executive
合适的	correct	eligible	feat	fit	meet	right	suitable	appropriate
假名的	anonymous
肉欲的	animal
用数字表示的	numerical
再一个	another
温热的	thermal
无疑的	moral	sure
钢制的	steel
[语]加强语意的	intensive
怕人	timid
其他一种	another
包罗广泛的	inclusive
二十的	twenty
[医]良性的	benign
满足的	content
渗透的	saturate	shot
法律（上）的	legal
内侧的	inside
较老的	elderly
整齐的	clean	orderly	regular	smart	so	straight	tidy	trim
能共处的	compatible
可理解的	intelligible
详述的	explicit
目前的	present	instant
即食的	instant
白种人的	white
向西北的	northwest
凸出的	outstanding
附加的	auxiliary	fringe	more	plus	accessory	additional	extra
起源的	genetic
（与某些代养有关的名词连用）	foster
民用的	civil	civilian
可以解释的	soluble
在使用中的	living
收入仅敷支出的	marginal
下游的	lower
古典文学的	classical
出局的	out
安逸的	comfortable
教会的	church
羞手羞脚	timid
[游戏]复局的	duplicate
[美国英语]退伍军人的	veteran
下层的	underlying
固结成的	concrete
英领殖民地时期的	colonial
（价格等）有竞争力的	competitive
直竖的	erect
王室的	household	royal
刺耳的	harsh
难实行的（计划等）	romantic
短缺的	short
极地的	polar
奇妙的	curious	wonder
排山倒海	gigantic
最不重要的	least
强壮的	muscular	strong	sturdy	tough
湿润的	humid
马的	horse
原封不动的	intact
令人厌倦[生厌	weary
（果实等）早熟的	early
创造的	creative
狂暴的	must	rough	rude	violent
优胜的	champion
市内	urban
选修科目	optional
成人的	grown-up
以观察或实验为依据的	empirical
通过单独的若干阶段来发展	linear
起因的	genetic
有望获奖的	prize
持久的	durable	permanent	stable
不明事理的	silly
（体格）结实的	compact
制作精巧的	skillful
病人用的	invalid
飘飘然	drunk
搞业余无线电收发报的	ham
（在君主等）统治下的	subject
催促的	urgent
后座后面有较大的空间）	estate
早期的	early
四十的	forty
双重的	twin
易受批评的	vulnerable
秋季的	autumn	fall
向东方的	east
斜向一边的	sideways
五的	five
浅色的	pale
共和国的	republican
不舒服的	bad	sick	uneasy	funny
天生	inherent
[体育]1)。在田赛场地进行的2)。田赛的	field
宽的	loose	wide	broad
已婚的	married
弄虚作假的	trick
巨人似的	gigantic
外面的	out	outer	outward	over	exterior	external
浸透的	saturate
与众不同的	unusual
魔术的	magic
实在的	concrete	effective
跌价的	bear
盲目的	blind
直接的	direct	intimate
一流的	boss	cool	crack
向后的	backward
混合成的	composite
尝试性的	tentative
忠贞的	loyal
内在的	resident	inherent	intrinsic
不愿听的	deaf
时常发生的	frequent	periodical
盘错	intricate
别的	else	other	otherwise
牧场的	range
优越的	signal	exceptional
危急的	critical
松木制的	deal
有毒的	poison	poisonous	toxic
专横的	arbitrary	imperative
罕见的	rare	scarce
相互的	mutual	reciprocal
近的	near
理论的	theoretical
朦胧的	cloudy	obscure
开拓的	frontier
有实力的	substantial
抽象的	abstract
在西方的	west
（皮毛、发、羽）呈褐色的	brown
难得的	unusual
端庄的	modest
武断的	arbitrary
木头的	wooden
平等的	equal	even
无论怎样…都	whatever
国际的	international
似铁的	irony
裸露的	naked
阴冷的	grim
